outlinks.subtilist,genomic_annotation.locus_tag
BG10065,BSU00010
BG10066,BSU00020
BG10067,BSU00030
BG10068,BSU00040
BG10069,BSU00050
BG10070,BSU00060
BG10071,BSU00070
BG10072,BSU00080
BG10073,BSU00090
BG10074,BSU00100
BG10075,BSU00110
BG10076,BSU00120
BG10077,BSU00130
BG10078,BSU00140
BG10079,BSU00150
BG10080,BSU00160
BG10081,BSU00170
BG10082,BSU00180
BG10083,BSU00190
BG10084,BSU00200
BG10085,BSU00210
BG10086,BSU00220
BG10087,BSU00230
BG10088,BSU00240
BG10089,BSU00250
BG10090,BSU00260
BG10091,BSU00270
BG10092,BSU00280
BG10093,BSU00290
BG10094,BSU00300
BG10095,BSU00310
BG10096,BSU00320
BG10097,BSU00330
BG10098,BSU00340
BG12700,BSU00350
BG10099,BSU00360
BG10100,BSU00370
BG10101,BSU00380
BG10102,BSU00390
BG10103,BSU00400
BG10104,BSU00410
BG10105,BSU00420
BG10106,BSU00430
BG10107,BSU00440
BG10108,BSU00450
BG10109,BSU00460
BG10110,BSU00470
BG10111,BSU00480
BG10112,BSU00490
BG10113,BSU00500
BG10114,BSU00510
BG10115,BSU00520
BG10116,BSU00530
BG10117,BSU00540
BG10118,BSU00550
BG10119,BSU00560
BG10120,BSU00570
BG10121,BSU00580
BG10122,BSU00590
BG10123,BSU00600
BG10124,BSU00610
BG10125,BSU00620
BG10126,BSU00630
BG10127,BSU00640
BG10128,BSU00650
BG10129,BSU00660
BG10130,BSU00670
BG10131,BSU00680
BG10132,BSU00690
BG10133,BSU00700
BG10134,BSU00710
BG10135,BSU00720
BG10136,BSU00730
BG10137,BSU00740
BG10138,BSU00750
BG10139,BSU00760
BG10140,BSU00770
BG10141,BSU00780
BG10142,BSU00790
BG12701,BSU00800
BG10143,BSU00810
BG10144,BSU00820
BG10145,BSU00830
BG10146,BSU00840
BG10147,BSU00850
BG10148,BSU00860
BG10149,BSU00870
BG10150,BSU00880
BG10151,BSU00890
BG10152,BSU00900
BG10153,BSU00910
BG10154,BSU00920
BG10155,BSU00930
BG10156,BSU00940
BG12702,BSU00950
BG10157,BSU00960
BG10158,BSU00970
BG10159,BSU00980
BG10160,BSU00990
BG10161,BSU01000
BG10162,BSU01010
BG10163,BSU01020
BG10164,BSU01030
BG11220,BSU01040
BG10726,BSU01050
BG10727,BSU01060
BG10728,BSU01070
BG10729,BSU01080
BG11365,BSU01090
BG19009,BSU01100
BG19006,BSU01110
BG11939,BSU01120
BG11056,BSU01130
BG11988,BSU01140
BG19008,BSU01150
BG11218,BSU01160
BG11219,BSU01170
BG11221,BSU01180
BG11217,BSU01190
BG19011,BSU01200
BG11078,BSU01210
BG19005,BSU01220
BG10755,BSU01230
BG10756,BSU01240
BG10757,BSU01250
BG10758,BSU01260
BG10759,BSU01270
BG10760,BSU01280
BG10761,BSU01290
BG10762,BSU01300
BG11408,BSU01310
BG11409,BSU01320
BG10442,BSU01330
BG10443,BSU01340
BG10444,BSU01350
BG10445,BSU01360
BG10446,BSU01370
BG10447,BSU01380
,BSU01389
BG11043,BSU01390
BG11042,BSU01400
BG10730,BSU01410
BG10731,BSU01420
BG10732,BSU01430
BG11041,BSU01440
BG11067,BSU01450
BG11989,BSU01460
BG11990,BSU01470
BG11992,BSU01480
BG11970,BSU01490
BG19007,BSU01500
BG11994,BSU01510
BG11503,BSU01520
BG11514,BSU01530
BG11494,BSU01540
BG10644,BSU01550
BG10643,BSU01560
BG11416,BSU01570
BG11562,BSU01580
BG11563,BSU01590
BG11565,BSU01600
BG10837,BSU01610
BG10836,BSU01620
BG10835,BSU01630
BG10834,BSU01640
BG10833,BSU01650
BG10832,BSU01660
BG11566,BSU01670
BG11567,BSU01680
BG11569,BSU01690
BG11570,BSU01700
BG11571,BSU01710
BG11572,BSU01720
BG11573,BSU01730
BG11574,BSU01740
BG11577,BSU01750
BG12703,BSU01760
BG12704,BSU01770
BG10948,BSU01780
BG10165,BSU01800
BG10166,BSU01810
BG10167,BSU01820
BG10949,BSU01830
BG12706,BSU01845
BG12708,BSU01860
BG12709,BSU01870
BG12710,BSU01880
BG12711,BSU01890
BG12712,BSU01900
BG12713,BSU01910
BG12714,BSU01920
BG12716,BSU01935
BG12718,BSU01950
BG12719,BSU01960
BG12720,BSU01970
BG12721,BSU01980
BG12722,BSU01990
BG12723,BSU02000
BG12724,BSU02010
BG12726,BSU02030
BG12727,BSU02040
BG12728,BSU02050
BG11505,BSU02060
BG11504,BSU02070
BG11506,BSU02080
BG11507,BSU02090
BG12729,BSU02100
BG12754,BSU02110
BG12730,BSU02120
BG10646,BSU02130
BG10645,BSU02140
BG12731,BSU02150
BG12732,BSU02160
BG12733,BSU02170
BG12734,BSU02180
BG12735,BSU02190
BG12736,BSU02200
BG12737,BSU02210
BG12738,BSU02220
BG10924,BSU02230
BG10690,BSU02240
BG12739,BSU02250
BG12740,BSU02260
BG11012,BSU02270
BG12741,BSU02280
BG11013,BSU02290
BG12742,BSU02300
BG12743,BSU02310
BG12744,BSU02320
BG12745,BSU02330
BG11015,BSU02340
BG11014,BSU02350
BG12746,BSU02360
BG12747,BSU02370
BG12748,BSU02380
BG12749,BSU02390
BG12750,BSU02400
