ID,result
EX_arab__L_e,+
EX_acgam_e,+
EX_succ_e,+
EX_gal_e,+
EX_asp__L_e,+
EX_pro__L_e,+
EX_ala__D_e,+
EX_tre_e,+
EX_man_e,+
EX_ser__D_e,+
EX_sbt__D_e,+
EX_glyc_e,+
EX_fuc_e,+
EX_glcur_e,+
EX_glcn__D_e,+
EX_glyc3p_e,+
EX_xyl__D_e,+
EX_lac__L_e,+
EX_for_e,+
EX_mnl_e,+
EX_glu__L_e,+
EX_g6p_e,+
EX_galctn__D_e,+
EX_mal__D_e,+
EX_rib__D_e,+
EX_rmn_e,+
EX_fru_e,+
EX_ac_e,+
EX_glc__D_e,+
EX_malt_e,+
EX_melib_e,+
EX_thymd_e,+
EX_asn__L_e,+
EX_asp__D_e,x
"EX_13ppd_e,EX_12ppd__R_e",-
EX_akg_e,+
EX_lcts_e,x
EX_sucr_e,+
EX_uri_e,+
EX_gln__L_e,+
EX_tartr__D_e,+
EX_g1p_e,+
EX_f6p_e,+
EX_3ohglutac_e,-
EX_malttr_e,+
EX_dad_2_e,+
EX_adn_e,+
EX_gly_asp__L_e,+
EX_cit_e,+
EX_inost_e,x
EX_thr__D_e,-
EX_fum_e,+
EX_ppa_e,+
EX_glyclt_e,+
EX_glx_e,+
EX_cellb_e,+
EX_ins_e,+
EX_gly_glu__L_e,+
EX_tcb_e,-
EX_ser__L_e,+
EX_thr__L_e,+
EX_ala__L_e,+
EX_ala_gln_e,+
EX_acac_e,+
EX_acmana_e,+
EX_methsucc_e,x
EX_mal__D_e,+
EX_mal__L_e,+
EX_gly_pro__L_e,+
EX_pheac_e,x
EX_tym_e,-
EX_lyx__L_e,x
EX_pyr_e,+
EX_galur_e,+
EX_peamn_e,x
EX_etha_e,x
EX_dextrin_e,+
EX_cspg_c_e,-
EX_glycogen_e,+
EX_pectin_e,x
EX_acgal_e,x
EX_all__D_e,+
EX_arab__D_e,+
EX_abt__D_e,-
EX_arbt_e,+
EX_drib_e,+
EX_madg_e,x
EX_pala_e,+
EX_raffin_e,+
EX_srb__L_e,+
EX_tag__D_e,x
EX_xylt_e,-
EX_caproic_e,-
EX_gam_e,+
EX_sebacid_e,-
EX_tartr__D_e,-
EX_tartr__L_e,-
EX_acglu_e,-
EX_arg__L_e,x
EX_gly_e,-
EX_his__L_e,x
EX_hom__L_e,x
EX_ile__L_e,-
EX_leu__L_e,-
EX_lys__L_e,-
EX_met__L_e,-
"EX_orn_e, EX_orn__L_e, EX_orn__D_e",+
EX_phe__L_e,-
EX_val__L_e,-
EX_crn_e,-
EX_ptrc_e,-
EX_dha_e,+
EX_btd_RR_e,-
