name,essential,genomic_annotation.locus_tag
bsrD,,
SR6,no,
nonA,,
rrcM,No,
dnaA,yes,BSU00010
dnaN,yes,BSU00020
yaaA,,BSU00030
recF,,BSU00040
remB,no,BSU00050
gyrB,yes,BSU00060
gyrA,yes,BSU00070
yaaC,no,BSU00080
guaB,no,BSU00090
dacA,no,BSU00100
pdxS,no,BSU00110
pdxT,no,BSU00120
serS,yes,BSU00130
dck,no,BSU00140
dgk,no,BSU00150
yaaH,no,BSU00160
yaaI,no,BSU00170
yaaJ,no,BSU00180
dnaX,yes,BSU00190
yaaK,no,BSU00200
recR,no,BSU00210
yaaL,no,BSU00220
bofA,no,BSU00230
csfB,no,BSU00240
xpaC,no,BSU00250
yaaN,no,BSU00260
yaaO,no,BSU00270
tmk,yes,BSU00280
darA,,BSU00290
yaaR,no,BSU00300
holB,yes,BSU00310
ricT,no,BSU00320
yabA,no,BSU00330
trmN6,no,BSU00340
yazA,no,BSU00350
yabC,no,BSU00360
abrB,no,BSU00370
metS,yes,BSU00380
yabD,no,BSU00390
yabE,no,BSU00400
rnmV,no,BSU00410
ksgA,no,BSU00420
yabG,no,BSU00430
veg,no,BSU00440
sspF,no,BSU00450
ispE,yes,BSU00460
purR,no,BSU00470
yabJ,no,BSU00480
spoVG,no,BSU00490
gcaD,yes,BSU00500
prs,yes,BSU00510
ctc,no,BSU00520
pth,yes,BSU00530
fin,no,BSU00540
mfd,no,BSU00550
spoVT,no,BSU00560
yabM,no,BSU00570
yabN,no,BSU00580
rqcP,no,BSU00590
yabP,no,BSU00600
shfA,no,BSU00610
divIC,yes,BSU00620
yabR,no,BSU00630
spoIIE,no,BSU00640
yabS,no,BSU00650
yabT,no,BSU00660
tilS,yes,BSU00670
hprT,no,BSU00680
ftsH,no,BSU00690
coaX,no,BSU00700
yacC,no,BSU00710
yacD,no,BSU00720
cysK,no,BSU00730
pabB,no,BSU00740
pabA,no,BSU00750
pabC,no,BSU00760
sul,yes,BSU00770
folB,yes,BSU00780
folK,yes,BSU00790
yazB,no,BSU00800
dusB1,no,BSU00810
lysS,yes,BSU00820
ctsR,no,BSU00830
mcsA,no,BSU00840
mcsB,no,BSU00850
clpC,no,BSU00860
radA,no,BSU00870
disA,no,BSU00880
yacL,no,BSU00890
ispD,yes,BSU00900
ispF,yes,BSU00910
