Model,Glucose_uptake,Oxygen_uptake,Growth_rate
iYO844,0.0,0.0,0.0
iYO844,0.0,0.75,0.0
iYO844,0.0,1.5,0.0
iYO844,0.0,2.25,0.0
iYO844,0.0,3.0,0.0
iYO844,0.0,3.75,0.0
iYO844,0.0,4.5,0.0
iYO844,0.0,5.25,0.0
iYO844,0.0,6.0,0.0
iYO844,0.0,6.75,0.0
iYO844,0.0,7.5,0.0
iYO844,0.0,8.25,0.0
iYO844,0.0,9.0,0.0
iYO844,0.0,9.75,0.0
iYO844,0.0,10.5,0.0
iYO844,0.0,11.25,0.0
iYO844,0.0,12.0,0.0
iYO844,0.0,12.75,0.0
iYO844,0.0,13.5,0.0
iYO844,0.0,14.25,0.0
iYO844,0.0,15.0,0.0
iYO844,0.0,15.75,0.0
iYO844,0.0,16.5,0.0
iYO844,0.0,17.25,0.0
iYO844,0.0,18.0,0.0
iYO844,0.0,18.75,0.0
iYO844,0.0,19.5,0.0
iYO844,0.0,20.25,0.0
iYO844,0.0,21.0,0.0
iYO844,0.0,21.75,0.0
iYO844,0.0,22.5,0.0
iYO844,0.0,23.25,0.0
iYO844,0.0,24.0,0.0
iYO844,0.0,24.75,0.0
iYO844,0.0,25.5,0.0
iYO844,0.0,26.25,0.0
iYO844,0.0,27.0,0.0
iYO844,0.0,27.75,0.0
iYO844,0.0,28.5,0.0
iYO844,0.0,29.25,0.0
iYO844,0.0,30.0,0.0
iYO844,0.375,0.0,0.0
iYO844,0.375,0.75,0.0
iYO844,0.375,1.5,0.0
iYO844,0.375,2.25,0.0
iYO844,0.375,3.0,0.0
iYO844,0.375,3.75,0.0
iYO844,0.375,4.5,0.0
iYO844,0.375,5.25,0.0
iYO844,0.375,6.0,0.0
iYO844,0.375,6.75,0.0
iYO844,0.375,7.5,0.0
iYO844,0.375,8.25,0.0
iYO844,0.375,9.0,0.0
iYO844,0.375,9.75,0.0
iYO844,0.375,10.5,0.0
iYO844,0.375,11.25,0.0
iYO844,0.375,12.0,0.0
iYO844,0.375,12.75,0.0
iYO844,0.375,13.5,0.0
iYO844,0.375,14.25,0.0
iYO844,0.375,15.0,0.0
iYO844,0.375,15.75,0.0
iYO844,0.375,16.5,0.0
iYO844,0.375,17.25,0.0
iYO844,0.375,18.0,0.0
iYO844,0.375,18.75,0.0
iYO844,0.375,19.5,0.0
iYO844,0.375,20.25,0.0
iYO844,0.375,21.0,0.0
iYO844,0.375,21.75,0.0
iYO844,0.375,22.5,0.0
iYO844,0.375,23.25,0.0
iYO844,0.375,24.0,0.0
iYO844,0.375,24.75,0.0
iYO844,0.375,25.5,0.0
iYO844,0.375,26.25,0.0
iYO844,0.375,27.0,0.0
iYO844,0.375,27.75,0.0
iYO844,0.375,28.5,0.0
iYO844,0.375,29.25,0.0
iYO844,0.375,30.0,0.0
iYO844,0.75,0.0,0.0
iYO844,0.75,0.75,0.0
iYO844,0.75,1.5,0.0
iYO844,0.75,2.25,0.011577692728390052
iYO844,0.75,3.0,0.028301026669397978
iYO844,0.75,3.75,0.03338671395916961
iYO844,0.75,4.5,0.03338671395916961
iYO844,0.75,5.25,0.03338671395916961
iYO844,0.75,6.0,0.03338671395916961
iYO844,0.75,6.75,0.03338671395916961
iYO844,0.75,7.5,0.03338671395916961
iYO844,0.75,8.25,0.03338671395916961
iYO844,0.75,9.0,0.03338671395916961
iYO844,0.75,9.75,0.03338671395916961
iYO844,0.75,10.5,0.03338671395916961
iYO844,0.75,11.25,0.03338671395916961
iYO844,0.75,12.0,0.03338671395916961
iYO844,0.75,12.75,0.03338671395916961
iYO844,0.75,13.5,0.03338671395916961
iYO844,0.75,14.25,0.03338671395916961
iYO844,0.75,15.0,0.03338671395916961
iYO844,0.75,15.75,0.03338671395916961
iYO844,0.75,16.5,0.03338671395916961
iYO844,0.75,17.25,0.03338671395916961
iYO844,0.75,18.0,0.03338671395916961
iYO844,0.75,18.75,0.03338671395916961
