Model,Biochemical reaction,Exchange reaction,Redox reaction,Symporter-mediated transport,Transfer of a chemical group,Phosphorylation,Hydrolysis,Active transport,Decarboxylation,Ligation,Cleavage,Isomerisation,Removal of a chemical group,Passive transport,Glycosylation,Deamination,Antiporter-mediated transport,Transamination,Acetylation,Methylation,Sink reaction,Translocation reaction,ATP maintenance,Decarbonylation,Hydroxylation,Biomass production,Demand reaction
ecBSU1,674,266,698,368,293,109,210,100,38,130,138,53,14,71,66,14,21,23,10,5,0,4,1,0,1,0,0
eciYO844,576,224,140,0,45,97,36,0,51,13,0,22,23,0,11,23,0,0,0,0,3,0,0,2,0,1,0
iBB1018,441,214,147,126,124,65,106,90,17,33,63,42,18,28,16,6,18,13,8,3,0,0,1,0,1,0,0
iBsu1103,883,500,67,143,92,17,31,93,0,15,0,21,30,14,0,0,17,0,0,0,2,0,0,0,0,0,0
iBsu1103v2,631,511,233,145,84,17,28,92,77,15,0,22,25,16,11,27,11,0,0,0,2,0,0,0,0,0,1
iBsu1147,703,254,218,147,9,128,14,94,75,3,0,6,6,33,11,29,11,0,0,0,0,0,1,0,0,0,0
iBsu1147R,102,254,272,147,219,101,141,91,36,69,105,45,12,32,51,12,11,16,10,4,0,4,1,0,1,0,0
iBsu1209,1170,33,303,0,52,129,42,0,107,19,0,18,27,0,11,36,0,0,0,0,2,0,0,1,0,0,0
iYO844,130,229,160,127,124,57,89,82,23,35,55,36,13,20,16,12,15,11,8,4,0,0,1,1,1,1,0
Submodel,749,350,345,0,120,136,120,0,118,61,0,46,93,0,11,33,0,0,0,0,0,0,1,2,0,1,2
