Model,Genes,Metabolites,Reactions,Score,Biomass ID,Bx MW,Missing metabolites?,Biomass contributions
iYO844,844,990,1250,82.48439792242698,BIOMASS_BS_10,1.040130367595619,True,"   metabolite  coefficient  formula_weight  contribution
0    10fthf_c    -0.000367      471.423440      0.173012
1    ala__L_c    -0.266902       89.093180     23.779148
2       amp_c    -0.004670      345.205341      1.612109
3    arg__L_c    -0.193021      175.208900     33.818997
4    asn__L_c    -0.147987      132.117920     19.551735
..        ...          ...             ...           ...
58      utp_c    -0.041501      480.109323     19.925017
59   val__L_c    -0.306734      117.146340     35.932765
60      adp_c   104.997414      424.177302 -44537.519787
61        h_c   105.000000        1.007940   -105.833700
62       pi_c   104.985613       95.979301 -10076.445751

[63 rows x 4 columns]"
iBsu1103,1109,1625,1925,73.85615211872563,bio00006,0.0,True,"    metabolite  coefficient  formula_weight  contribution
0        h2o_c  -105.000000             0.0           0.0
1        atp_c  -105.003371             0.0           0.0
2        nad_c    -0.018220             0.0           0.0
3      nadph_c    -0.000237             0.0           0.0
4       nadp_c    -0.001053             0.0           0.0
5        coa_c    -0.000128             0.0           0.0
6        ppi_c    -0.000855             0.0           0.0
7        amp_c    -0.005253             0.0           0.0
8        gdp_c    -0.000221             0.0           0.0
9        gtp_c    -0.000488             0.0           0.0
10       cmp_c    -0.001153             0.0           0.0
11       ctp_c    -0.000611             0.0           0.0
12       ca2_c    -0.002983             0.0           0.0
13       cdp_c    -0.000292             0.0           0.0
14       gmp_c    -0.000594             0.0           0.0
15    10fthf_c    -0.000207             0.0           0.0
16         k_c    -0.657600             0.0           0.0
17       mg2_c    -0.094740             0.0           0.0
18       fe3_c    -0.003209             0.0           0.0
19  cpd11451_c    -0.000150             0.0           0.0
20       dna_c    -0.026000             0.0           0.0
21  cpd11462_c    -0.065500             0.0           0.0
22  cpd11463_c    -0.528400             0.0           0.0
23       ACP_c    -0.000273             0.0           0.0
24  cpd15664_c    -0.224200             0.0           0.0
25  cpd15670_c    -0.030400             0.0           0.0
26  cpd15800_c    -0.076000             0.0           0.0
27       adp_c   104.997100             0.0          -0.0
28        pi_c   104.986600             0.0          -0.0
29  cpd11416_c     1.000000             0.0          -0.0
30   HC01161_c     0.000273             0.0          -0.0"
iBsu1103v2,1108,1639,1948,60.1371256350779,bio00127,0.0,True,"    metabolite  coefficient  formula_weight  contribution
0        h2o_c  -105.000000             0.0           0.0
1        atp_c  -105.003371             0.0           0.0
2        nad_c    -0.018220             0.0           0.0
3      nadph_c    -0.000237             0.0           0.0
4       nadp_c    -0.001053             0.0           0.0
5        coa_c    -0.000128             0.0           0.0
6        ppi_c    -0.000855             0.0           0.0
7        fad_c    -0.000001             0.0           0.0
8     pydx5p_c    -0.000001             0.0           0.0
9        amp_c    -0.005253             0.0           0.0
10     pheme_c    -0.000001             0.0           0.0
11       gdp_c    -0.000221             0.0           0.0
12       gtp_c    -0.000488             0.0           0.0
13       cmp_c    -0.001153             0.0           0.0
14       ctp_c    -0.000611             0.0           0.0
15     thmpp_c    -0.000001             0.0           0.0
16       ca2_c    -0.002983             0.0           0.0
17       cdp_c    -0.000292             0.0           0.0
18       gmp_c    -0.000594             0.0           0.0
19    10fthf_c    -0.000207             0.0           0.0
20         k_c    -0.657600             0.0           0.0
21       mg2_c    -0.094740             0.0           0.0
22       fe3_c    -0.003209             0.0           0.0
23  cpd11451_c    -0.000150             0.0           0.0
24       dna_c    -0.026000             0.0           0.0
25  cpd11462_c    -0.065500             0.0           0.0
26  cpd11463_c    -0.528400             0.0           0.0
27       ACP_c    -0.000273             0.0           0.0
28  cpd14954_c    -0.000001             0.0           0.0
29  cpd15664_c    -0.224200             0.0           0.0
30  cpd15670_c    -0.030400             0.0           0.0
31  cpd15800_c    -0.076000             0.0           0.0
32       adp_c   104.997100             0.0          -0.0
33        pi_c   104.986600             0.0          -0.0
34  cpd11416_c     1.000000             0.0          -0.0
35   HC01161_c     0.000273             0.0          -0.0
36  cpd14957_c     0.000001             0.0          -0.0"
iBsu1147,1147,1456,1742,59.81895325489146,bio00006,0.1548179418489944,True,"      metabolite  coefficient  formula_weight  contribution
0       10fthf_c    -0.000207      471.423440      0.097505
1          ACP_c    -0.000273        0.000000      0.000000
2       C00828_c    -0.000150      651.015040      0.097503
3     CELLWALL_c    -0.224200        0.000000      0.000000
4      PROTEIN_c    -0.528400        0.000000      0.000000
5          amp_c    -0.005253      346.213281      1.818658
6          atp_c  -105.003000      504.157203  52938.018787
7          ca2_c    -0.002983       40.078000      0.119553
8          cdp_c    -0.000292      401.160542      0.117299
9          cmp_c    -0.001153      322.188581      0.371483
10         coa_c    -0.000128      764.510303      0.097565
11    cpd11462_c    -0.065500        0.000000      0.000000
12    cpd15800_c    -0.076000        0.000000      0.000000
13         ctp_c    -0.000611      480.132503      0.293121
14         dna_c    -0.026000        0.000000      0.000000
15         fe3_c    -0.003209       55.845000      0.179207
16         gdp_c    -0.000221      441.184642      0.097722
17         gmp_c    -0.000594      362.212681      0.215118
18         gtp_c    -0.000488      520.156603      0.253992
19         h2o_c  -105.000000       18.015280   1891.604400
20           k_c    -0.657600       39.098300     25.711042
21  lpteichoic_c    -0.030400        0.000000      0.000000
22         mg2_c    -0.094740       24.305000      2.302656
23         nad_c    -0.018220      662.417162     12.069241
24        nadp_c    -0.001053      741.389123      0.780683
25       nadph_c    -0.000237      742.397063      0.175725
26         ppi_c    -0.000855      175.959202      0.150410
27      C03688_c     0.000273        0.000000     -0.000000
28         adp_c   104.997000      425.185242 -44643.174854
29          pi_c   104.987000       95.979301 -10076.578874"
eciYO844,861,1009,1267,56.39905398187152,BIOMASS_BS_10,0.0,True,"   metabolite  coefficient  formula_weight  contribution
0    10fthf_c    -0.000367             0.0           0.0
1     ala_L_c    -0.266902             0.0           0.0
2       amp_c    -0.004670             0.0           0.0
3     arg_L_c    -0.193021             0.0           0.0
4     asn_L_c    -0.147987             0.0           0.0
..        ...          ...             ...           ...
58      utp_c    -0.041501             0.0           0.0
59    val_L_c    -0.306734             0.0           0.0
60      adp_c   104.997414             0.0          -0.0
61        h_c   105.000000             0.0          -0.0
62       pi_c   104.985613             0.0          -0.0

[63 rows x 4 columns]"
iBsu1209,1209,1582,1950,47.88023495316481,bio00006,0.132475773615999,True,"     metabolite  coefficient  formula_weight  contribution
0      10fthf_c    -0.000207      471.423440      0.097505
1         ACP_c    -0.000273        0.000000      0.000000
2         amp_c    -0.005253      346.213281      1.818658
3         atp_c  -105.003000      504.157203  52938.018787
4         ca2_c    -0.002983       40.078000      0.119553
5         cdp_c    -0.000292      401.160542      0.117299
6    cellw_c[c]    -0.224200       36.996470      8.294609
7         cmp_c    -0.001153      322.188581      0.371483
8         coa_c    -0.000128      764.510303      0.097565
9         ctp_c    -0.000611      480.132503      0.293121
10        dna_c    -0.026000        0.000000      0.000000
11        fe3_c    -0.003209       55.845000      0.179207
12        gdp_c    -0.000221      441.184642      0.097722
13        gmp_c    -0.000594      362.212681      0.215118
14        gtp_c    -0.000488      520.156603      0.253992
15        h2o_c  -105.000000       18.015280   1891.604400
16          k_c    -0.657600       39.098300     25.711042
17  lipcop_c[c]    -0.076000       36.996470      2.811732
18  lipoac_c[c]    -0.030400       36.996470      1.124693
19        mg2_c    -0.094740       24.305000      2.302656
20       mql7_c    -0.000150      651.015040      0.097503
21    mrna_c[c]    -0.065500       36.996470      2.423269
22        nad_c    -0.018220      662.417162     12.069241
23       nadp_c    -0.001053      741.389123      0.780683
24      nadph_c    -0.000237      742.397063      0.175725
25        ppi_c    -0.000855      175.959202      0.150410
26     pro_c[c]    -0.528400        0.000000      0.000000
27       aacp_c     0.000273        0.000000     -0.000000
28        adp_c   104.997000      425.185242 -44643.174854
29    biom_c[c]     1.000000       36.996470    -36.996470
30         pi_c   104.987000       95.979301 -10076.578874"
iBB1018,1020,1291,1580,64.71956438179156,BiomassRepsolRed,0.1550002232391053,True,"        metabolite  coefficient  formula_weight  contribution
0            h2o_c  -105.000000       18.015280   1891.604400
1            nad_c    -0.018220      662.417162     12.069241
2           nadp_c    -0.001053      740.381183      0.779621
3          nadph_c    -0.000237      741.389123      0.175487
4            coa_c    -0.000128      763.502363      0.097438
5            atp_c  -105.003400      503.149263  52832.383322
6            amp_c    -0.005253      345.205341      1.813364
7            ppi_c    -0.000855      174.951262      0.149548
8            fad_c    -0.000001      783.533862      0.000784
9            gtp_c    -0.000488      519.148663      0.253500
10           gdp_c    -0.000221      440.176702      0.097499
11        10fthf_c    -0.000207      471.423440      0.097505
12           ca2_c    -0.002983       40.078000      0.119553
13           mg2_c    -0.094740       24.305000      2.302656
14           ctp_c    -0.000611      479.124563      0.292506
15           cmp_c    -0.001153      321.180641      0.370321
16           cdp_c    -0.000292      400.152602      0.117005
17           fe3_c    -0.003209       55.845000      0.179207
18           gmp_c    -0.000594      361.204741      0.214519
19             k_c    -0.657600       39.098300     25.711042
20         thmpp_c    -0.000001      422.290562      0.000422
21          mql7_c    -0.000150      651.015040      0.097503
22           dna_c    -0.026000        0.000000      0.000000
23     MNXM16624_c    -0.224200        0.000000      0.000000
24        pydx5p_c    -0.000001      245.125981      0.000245
25         pheme_c    -0.000001      614.471400      0.000614
26          mRNA_c    -0.065500        0.000000      0.000000
27        Lipids_c    -0.076000        0.000000      0.000000
28  Lipoteichoic_c    -0.030400        0.000000      0.000000
29      proteins_c    -0.528400        0.000000      0.000000
30            pi_c   104.986600       95.979301 -10076.540482
31           adp_c   104.997100      424.177302 -44537.386596
32       biomass_c     1.000000        0.000000     -0.000000"
iBsu1147R,1155,1459,1736,58.5074789659762,bio00006,0.0489842418490025,True,"      metabolite  coefficient  formula_weight  contribution
0       10fthf_c    -0.000207      471.423440      0.097505
1          ACP_c    -0.000273        0.000000      0.000000
2     CELLWALL_c    -0.224200        0.000000      0.000000
3      PROTEIN_c    -0.528400        0.000000      0.000000
4          amp_c    -0.005253      346.213281      1.818658
5          atp_c  -105.003000      504.157203  52938.018787
6          ca2_c    -0.002983       40.078000      0.119553
7          cdp_c    -0.000292      401.160542      0.117299
8          cmp_c    -0.001153      322.188581      0.371483
9          coa_c    -0.000128      764.510303      0.097565
10    cpd11462_c    -0.065500        0.000000      0.000000
11    cpd15800_c    -0.076000        0.000000      0.000000
12         ctp_c    -0.000611      480.132503      0.293121
13         dna_c    -0.026000        0.000000      0.000000
14         fe3_c    -0.003209       55.845000      0.179207
15         gdp_c    -0.000221      441.184642      0.097722
16         gmp_c    -0.000594      362.212681      0.215118
17         gtp_c    -0.000488      520.156603      0.253992
18         h2o_c  -105.000000       18.015280   1891.604400
19           k_c    -0.657600       39.098300     25.711042
20  lpteichoic_c    -0.030400        0.000000      0.000000
21         mg2_c    -0.094740       24.305000      2.302656
22        mql7_c    -0.000150      651.015040      0.097503
23         nad_c    -0.018220      662.417162     12.069241
24        nadp_c    -0.001053      741.389123      0.780683
25       nadph_c    -0.000237      742.397063      0.175725
26         ppi_c    -0.000855      175.959202      0.150410
27      C03688_c     0.000273        0.000000     -0.000000
28         adp_c   104.997000      425.185242 -44643.174854
29           h_c   105.000000        1.007940   -105.833700
30          pi_c   104.987000       95.979301 -10076.578874"
ecBSU1,1155,1459,3307,54.01803415771372,bio00006,0.0489842418490025,True,"      metabolite  coefficient  formula_weight  contribution
0       10fthf_c    -0.000207      471.423440      0.097505
1          ACP_c    -0.000273        0.000000      0.000000
2     CELLWALL_c    -0.224200        0.000000      0.000000
3      PROTEIN_c    -0.528400        0.000000      0.000000
4          amp_c    -0.005253      346.213281      1.818658
5          atp_c  -105.003000      504.157203  52938.018787
6          ca2_c    -0.002983       40.078000      0.119553
7          cdp_c    -0.000292      401.160542      0.117299
8          cmp_c    -0.001153      322.188581      0.371483
9          coa_c    -0.000128      764.510303      0.097565
10    cpd11462_c    -0.065500        0.000000      0.000000
11    cpd15800_c    -0.076000        0.000000      0.000000
12         ctp_c    -0.000611      480.132503      0.293121
13         dna_c    -0.026000        0.000000      0.000000
14         fe3_c    -0.003209       55.845000      0.179207
15         gdp_c    -0.000221      441.184642      0.097722
16         gmp_c    -0.000594      362.212681      0.215118
17         gtp_c    -0.000488      520.156603      0.253992
18         h2o_c  -105.000000       18.015280   1891.604400
19           k_c    -0.657600       39.098300     25.711042
20  lpteichoic_c    -0.030400        0.000000      0.000000
21         mg2_c    -0.094740       24.305000      2.302656
22        mql7_c    -0.000150      651.015040      0.097503
23         nad_c    -0.018220      662.417162     12.069241
24        nadp_c    -0.001053      741.389123      0.780683
25       nadph_c    -0.000237      742.397063      0.175725
26         ppi_c    -0.000855      175.959202      0.150410
27      C03688_c     0.000273        0.000000     -0.000000
28         adp_c   104.997000      425.185242 -44643.174854
29           h_c   105.000000        1.007940   -105.833700
30          pi_c   104.987000       95.979301 -10076.578874"
Submodel,2364,1810,2188,61.13507300672573,BIOMASS_BS_10,1.042819085925132,False,"   metabolite  coefficient  formula_weight  contribution
0    10fthf_c    -0.000367      471.423440      0.173012
1    ala__L_c    -0.266902       89.093180     23.779148
2       amp_c    -0.004670      345.205341      1.612109
3    arg__L_c    -0.193021      175.208900     33.818997
4    asn__L_c    -0.147987      132.117920     19.551735
..        ...          ...             ...           ...
58      utp_c    -0.041501      480.109323     19.925017
59   val__L_c    -0.306734      117.146340     35.932765
60      adp_c   104.997000      424.177302 -44537.344178
61        h_c   105.000000        1.007940   -105.833700
62       pi_c   104.986000       95.979301 -10076.482895

[63 rows x 4 columns]"
