model,pathway,reaction,flux,flux_as_written,orientation,biomass_flux,experimental_flux
iYO844,EMP,GLCpts,7.63,7.63,1.0,0.575179774746418,7.63
iYO844,EMP,PGI,7.48527614097718,7.48527614097718,1.0,0.575179774746418,4.159
iYO844,EMP,PFK,7.062822318006454,7.062822318006454,1.0,0.575179774746418,6.005
iYO844,EMP,FBA,7.062822318006454,7.062822318006454,1.0,0.575179774746418,6.005
iYO844,EMP,TPI,6.714169045027066,6.714169045027066,1.0,0.575179774746418,6.005
iYO844,EMP,GAPD,13.581848203589393,13.581848203589393,1.0,0.575179774746418,11.577
iYO844,EMP,PGK,13.581848203589393,-13.581848203589393,-1.0,0.575179774746418,11.577
iYO844,EMP,PGM,13.021636332121213,-13.021636332121213,-1.0,0.575179774746418,11.577
iYO844,EMP,ENO,13.021636332121213,13.021636332121213,1.0,0.575179774746418,11.577
iYO844,EMP,PYK,4.939958583428572,4.939958583428572,1.0,0.575179774746418,3.944
iYO844,TCA,CS,5.361475624638302,5.361475624638302,1.0,0.575179774746418,
iYO844,TCA,ACONT,5.361475624638302,5.361475624638302,1.0,0.575179774746418,3.353
iYO844,TCA,ICDHyr,5.361475624638302,5.361475624638302,1.0,0.575179774746418,3.353
iYO844,TCA,AKGDH,4.799625065991858,4.799625065991858,1.0,0.575179774746418,2.638
iYO844,TCA,SUCOAS,4.516071215098044,-4.516071215098044,-1.0,0.575179774746418,2.638
iYO844,TCA,SUCD1,4.799625065991858,4.799625065991858,1.0,0.575179774746418,2.638
iYO844,TCA,FUM,5.120543745412723,5.120543745412723,1.0,0.575179774746418,2.638
iYO844,TCA,MDH,5.120543745412723,5.120543745412723,1.0,0.575179774746418,1.878
iYO844,TCA,PDH,9.42026953547899,9.42026953547899,1.0,0.575179774746418,7.405
iYO844,TCA,PC,1.4486052173729966,1.4486052173729966,1.0,0.575179774746418,3.504
iYO844,PPP,G6PDH2r,0.0,0.0,1.0,0.575179774746418,3.297
iYO844,PPP,PGL,0.0,0.0,1.0,0.575179774746418,3.297
iYO844,PPP,GND,0.0,0.0,1.0,0.575179774746418,3.297
iYO844,PPP,RPI,0.23438499130279133,-0.23438499130279133,-1.0,0.575179774746418,1.451
iYO844,PPP,RPE,-0.23438499130279133,-0.23438499130279133,1.0,0.575179774746418,1.846
iYO844,PPP,TKT1,-0.018913828259574217,-0.018913828259574217,1.0,0.575179774746418,1.055
iYO844,PPP,TALA,-0.018913828259574217,-0.018913828259574217,1.0,0.575179774746418,1.055
iYO844,PPP,TKT2,-0.21547116304321712,-0.21547116304321712,1.0,0.575179774746418,0.791
iBsu1147,EMP,GLCpts,0.0,0.0,1.0,0.552604257214426,7.63
iBsu1147,EMP,PGI,7.489121279933366,7.489121279933366,1.0,0.552604257214426,4.159
iBsu1147,EMP,PFK,7.1588436736640455,7.1588436736640455,1.0,0.552604257214426,6.005
iBsu1147,EMP,FBA,7.1588436736640455,7.1588436736640455,1.0,0.552604257214426,6.005
iBsu1147,EMP,TPI,6.81872077762647,-6.81872077762647,-1.0,0.552604257214426,6.005
iBsu1147,EMP,GAPD,13.898962215340013,13.898962215340013,1.0,0.552604257214426,11.577
iBsu1147,EMP,PGK,13.898962215340013,-13.898962215340013,-1.0,0.552604257214426,11.577
iBsu1147,EMP,PGM,13.047188649464834,-13.047188649464834,-1.0,0.552604257214426,11.577
iBsu1147,EMP,ENO,13.047188649464834,13.047188649464834,1.0,0.552604257214426,11.577
iBsu1147,EMP,PYK,12.991064724331068,12.991064724331068,1.0,0.552604257214426,3.944
iBsu1147,TCA,CS,4.626289218624299,4.626289218624299,1.0,0.552604257214426,
iBsu1147,TCA,ACONT,4.626289218624299,4.626289218624299,1.0,0.552604257214426,3.353
iBsu1147,TCA,ICDHyr,4.626289218624299,4.626289218624299,1.0,0.552604257214426,3.353
iBsu1147,TCA,AKGDH,4.086797469656879,4.086797469656879,1.0,0.552604257214426,2.638
iBsu1147,TCA,SUCOAS,8.271747707274262,-8.271747707274262,-1.0,0.552604257214426,2.638
iBsu1147,TCA,SUCD1,4.086797469656879,4.086797469656879,1.0,0.552604257214426,2.638
