substrate,model,outcome
EX_arab__L_e,iYO844,TP
EX_acgam_e,iYO844,TP
EX_succ_e,iYO844,TP
EX_gal_e,iYO844,TP
EX_asp__L_e,iYO844,TP
EX_pro__L_e,iYO844,TP
EX_ala__D_e,iYO844,TP
EX_tre_e,iYO844,TP
EX_man_e,iYO844,TP
EX_ser__D_e,iYO844,TP
EX_sbt__D_e,iYO844,TP
EX_glyc_e,iYO844,TP
EX_fuc_e,iYO844,untested
EX_glcur_e,iYO844,TP
EX_glcn__D_e,iYO844,TP
EX_glyc3p_e,iYO844,TP
EX_xyl__D_e,iYO844,TP
EX_lac__L_e,iYO844,TP
EX_for_e,iYO844,FN
EX_mnl_e,iYO844,TP
EX_glu__L_e,iYO844,TP
EX_g6p_e,iYO844,TP
EX_galctn__D_e,iYO844,untested
EX_mal__D_e,iYO844,TP
EX_rib__D_e,iYO844,TP
EX_rmn_e,iYO844,TP
EX_fru_e,iYO844,TP
EX_ac_e,iYO844,FN
EX_glc__D_e,iYO844,TP
EX_malt_e,iYO844,TP
EX_melib_e,iYO844,TP
EX_thymd_e,iYO844,TP
EX_asn__L_e,iYO844,TP
"EX_13ppd_e,EX_12ppd__R_e",iYO844,untested
EX_akg_e,iYO844,TP
EX_sucr_e,iYO844,TP
EX_uri_e,iYO844,TP
EX_gln__L_e,iYO844,TP
EX_tartr__D_e,iYO844,untested
EX_g1p_e,iYO844,TP
EX_f6p_e,iYO844,TP
EX_3ohglutac_e,iYO844,untested
EX_malttr_e,iYO844,TP
EX_dad_2_e,iYO844,TP
EX_adn_e,iYO844,TP
EX_gly_asp__L_e,iYO844,FN
EX_cit_e,iYO844,TP
EX_thr__D_e,iYO844,untested
EX_fum_e,iYO844,TP
EX_ppa_e,iYO844,TP
EX_glyclt_e,iYO844,TP
EX_glx_e,iYO844,TP
EX_cellb_e,iYO844,TP
EX_ins_e,iYO844,TP
EX_gly_glu__L_e,iYO844,FN
EX_tcb_e,iYO844,untested
EX_ser__L_e,iYO844,TP
EX_thr__L_e,iYO844,TP
EX_ala__L_e,iYO844,TP
EX_ala_gln_e,iYO844,untested
EX_acac_e,iYO844,FN
EX_acmana_e,iYO844,TP
EX_mal__L_e,iYO844,TP
