Experiment,Model,CCC,RMSE,MAE,Bias
Chubukov_2013,iYO844,0.9033154031315148,0.0736133536803147,0.06362159704973565,-0.024654929933501324
Chubukov_2013,iBsu1147,0.7501473889736177,0.1262281059591763,0.10356125728366829,-0.08702619134457334
Chubukov_2013,eciYO844,0.33342858503624556,0.3598429214570895,0.30745064820520834,-0.30745064820520834
Chubukov_2013,iBB1018,0.9094961882631435,0.07219243822694844,0.06286381605833599,-0.007731219712509094
Chubukov_2013,iBsu1147R,0.8454524881895158,0.0917002062606757,0.07077388288563195,-0.05308228875470308
Chubukov_2013,ecBSU1,0.8454525388859084,0.09170017229619214,0.07077385746697126,-0.05308221173815441
Chubukov_2013,Submodel,0.8983226367275633,0.07409350729794201,0.0630391744161947,0.00013385747694156375
Dauner_2001,iYO844,0.8764380577069942,0.061584150578532344,0.05328266606048335,0.05328266606048335
Dauner_2001,iBsu1147,0.8784895428127125,0.059361709617148574,0.05408166718990053,0.05408166718990053
Dauner_2001,eciYO844,0.8859120370309956,0.05831933273642856,0.05091218394307565,0.05091218394307565
Dauner_2001,iBB1018,0.8551729188386948,0.07086978735780115,0.055734214278422636,0.055734214278422636
Dauner_2001,iBsu1147R,0.8941583407286137,0.05446600235199379,0.04945638400678064,0.04945638400678064
Dauner_2001,ecBSU1,0.8941580126085515,0.05446610847935674,0.049456479454971905,0.049456479454971905
Dauner_2001,Submodel,0.7883768847779729,0.0861425364547875,0.07897852840661379,0.07897852840661379
Dauner_2001caa3KO,iYO844,0.9734662269395887,0.022721433983671574,0.018547090977891485,-0.015378763350573397
Dauner_2001caa3KO,iBsu1147,0.8784895428127135,0.059361709617148414,0.054081667189900276,0.054081667189900276
Dauner_2001caa3KO,eciYO844,0.9644659817774212,0.026026017406673724,0.021315281954479806,-0.018720527334312627
Dauner_2001caa3KO,iBB1018,0.9729250912582404,0.024702496809710366,0.021939767712017264,-0.02052267834312533
Dauner_2001caa3KO,iBsu1147R,0.9824175085419063,0.018231804343530077,0.012754976064481569,-0.006912066711185149
Dauner_2001caa3KO,ecBSU1,0.982417571110514,0.01823177349574849,0.012754940498726138,-0.0069120105783967815
Dauner_2001caa3KO,Submodel,0.9751476964237847,0.022968340403282453,0.019665048372137325,0.019665048372137325
