Model,condition,mu,caa3,aa3_600,bd,other
iYO844,wild type,0.6082147913314241,35.91528236993023,0.0,0.0,0.08471763006976214
iYO844,caa3 knockout,0.4232750821427217,0.0,35.941042437083425,0.0,0.0589575629165756
iBsu1147,wild type,0.5941256548164252,0.0,35.91584364572196,0.0,0.08415635427804058
iBsu1147,caa3 knockout,0.5941256548164252,0.0,35.91584364572196,0.0,0.08415635427804058
eciYO844,wild type,0.5967034675543055,35.91688577070783,0.0,0.0,0.08311422929217116
eciYO844,caa3 knockout,0.4060257846805303,0.0,35.94344507447764,0.0,0.05655492552236652
iBB1018,wild type,0.6254471624918886,25.657649953987335,10.34235067145983,0.0,0.0
iBB1018,caa3 knockout,0.46732240289426796,0.0,36.0000004673224,0.0,0.0
iBsu1147R,wild type,0.5545565412708965,35.91812176495392,0.0,0.0,0.08187823504608203
iBsu1147R,caa3 knockout,0.42132869364515335,0.0,35.9377923669769,0.0,0.062207633023101394
ecBSU1,wild type,0.5545565164493045,32.4068308997974,0.0,0.0,1.837523665791934
ecBSU1,caa3 knockout,0.4213287853770629,0.0,35.93779235343303,0.0,0.06220764656697009
Submodel,wild type,0.6242116986510711,34.84171847086746,0.0,0.0,0.0
Submodel,caa3 knockout,0.4768577334803562,0.0,0.0,0.0,36.0
